console,game,year,publisher,players,genre,rating
Bally Astrocade,Solar Conqueror,1978,Bally,1-2,Shoot 'em up,7.5
Bally Astrocade,Astro Battle,1978,Bally,1-2,Shoot 'em up,7.4
Bally Astrocade,Artillery Duel,1982,Bally,1-2,Strategy,7.4
Bally Astrocade,Amazing Maze,1977,Bally,1-2,Maze,7.3
Bally Astrocade,Bally Pin,1982,Bally,1-2,Pinball,7.2
ColecoVision,Donkey Kong,1982,Coleco,1-2,Platformer,8.5
ColecoVision,Donkey Kong Jr.,1982,Coleco,1-2,Platformer,8.1
ColecoVision,Lady Bug,1982,Universal,1-2,Arcade,8.1
ColecoVision,Zaxxon,1982,Coleco,1-2,Shoot 'em up,8.0
ColecoVision,River Raid,1984,Activision,1,Shoot 'em up,8.0
ColecoVision,Pitfall II,1984,Activision,1,Platformer,8.0
ColecoVision,Venture,1982,Exidy,1-2,Arcade,7.9
ColecoVision,Smurf: Rescue in Gargamel's Castle,1982,Coleco,1,Platformer,7.9
ColecoVision,Frogger,1982,Parker Brothers,1-2,Arcade,7.9
ColecoVision,Q*bert,1983,Parker Brothers,1-2,Arcade,7.9
ColecoVision,Cosmic Avenger,1982,Universal,1-2,Shoot 'em up,7.8
ColecoVision,Congo Bongo,1983,Sega,1-2,Arcade,7.8
ColecoVision,Burger Time,1983,Mattel,1-2,Arcade,7.8
ColecoVision,Pepper II,1982,Exidy,1-2,Arcade,7.7
ColecoVision,Frenzy,1982,Coleco,1-2,Arcade,7.7
ColecoVision,Galaxian,1982,Atari,1-2,Shoot 'em up,7.7
ColecoVision,Miner 2049er,1983,Big Five Software,1,Platformer,7.7
ColecoVision,Mouse Trap,1982,Coleco,1-2,Arcade,7.6
ColecoVision,Gorf,1983,CBS Electronics,1-2,Shoot 'em up,7.6
ColecoVision,Spy Hunter,1984,Coleco,1-2,Action,7.6
Fairchild Channel F,Video Whizball,1976,Fairchild,1-2,Sports,7.4
Fairchild Channel F,Bowling,1976,Fairchild,1-2,Sports,7.2
Fairchild Channel F,Tennis,1976,Fairchild,1-2,Sports,7.1
Fairchild Channel F,Alien Invasion,1976,Fairchild,1-2,Shoot 'em up,7.0
Fairchild Channel F,Space War,1976,Fairchild,1-2,Shoot 'em up,7.0
Fairchild Channel F,Drag Strip,1976,Fairchild,1-2,Racing,6.9
Fairchild Channel F,Pinball Challenge,1977,Fairchild,1-2,Pinball,6.9
Fairchild Channel F,Math Quiz,1976,Fairchild,1-2,Educational,6.8
Fairchild Channel F,Blackjack,1976,Fairchild,1-2,Card,6.8
Fairchild Channel F,Doodle,1976,Fairchild,1,Creative,6.5
Game Boy / Game Boy Color,Pokémon Gold/Silver,1999,Nintendo,1,RPG,9.8
Game Boy / Game Boy Color,Tetris,1989,Nintendo,1-2,Puzzle,9.7
Game Boy / Game Boy Color,The Legend of Zelda: Link's Awakening DX,1998,Nintendo,1,Action-Adventure,9.7
Game Boy / Game Boy Color,Pokémon Crystal,2000,Nintendo,1,RPG,9.5
Game Boy / Game Boy Color,The Legend of Zelda: Oracle of Ages,2001,Nintendo,1,Action-Adventure,9.3
Game Boy / Game Boy Color,The Legend of Zelda: Oracle of Seasons,2001,Nintendo,1,Action-Adventure,9.3
Game Boy / Game Boy Color,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,1,Platformer,9.2
Game Boy / Game Boy Color,Wario Land II,1998,Nintendo,1,Platformer,9.1
Game Boy / Game Boy Color,Shantae,2002,Capcom,1,Platformer,9.1
Game Boy / Game Boy Color,Castlevania II: Belmont's Revenge,1991,Konami,1,Action-Platformer,9.0
Game Boy / Game Boy Color,Wario Land 3,2000,Nintendo,1,Platformer,9.0
Game Boy / Game Boy Color,Metal Gear: Ghost Babel,2000,Konami,1,Stealth,9.0
Game Boy / Game Boy Color,Gargoyle's Quest,1990,Capcom,1,Action RPG,8.9
Game Boy / Game Boy Color,Metroid II: Return of Samus,1991,Nintendo,1,Action-Adventure,8.9
Game Boy / Game Boy Color,Kirby's Dream Land 2,1995,Nintendo,1,Platformer,8.9
Game Boy / Game Boy Color,Donkey Kong Land,1995,Nintendo,1,Platformer,8.8
Game Boy / Game Boy Color,Dragon Warrior Monsters,1998,Enix,1,RPG,8.8
Game Boy / Game Boy Color,Mario Tennis,2000,Nintendo,1-2,Sports,8.8
Game Boy / Game Boy Color,Bionic Commando,1992,Capcom,1,Action-Platformer,8.6
Game Boy / Game Boy Color,Harvest Moon GBC,1998,Natsume,1,Simulation,8.5
Game Boy Advance,Castlevania: Aria of Sorrow,2003,Konami,1,Action RPG,9.7
Game Boy Advance,Metroid: Zero Mission,2004,Nintendo,1,Action-Adventure,9.7
Game Boy Advance,Advance Wars,2001,Nintendo,1-4,Strategy,9.5
Game Boy Advance,Metroid Fusion,2002,Nintendo,1,Action-Adventure,9.5
Game Boy Advance,The Legend of Zelda: The Minish Cap,2004,Nintendo,1,Action-Adventure,9.5
Game Boy Advance,Pokémon Emerald,2004,Nintendo,1-2,RPG,9.4
Game Boy Advance,Mario & Luigi: Superstar Saga,2003,Nintendo,1,RPG,9.3
Game Boy Advance,Pokémon FireRed/LeafGreen,2004,Nintendo,1-2,RPG,9.3
Game Boy Advance,Golden Sun: The Lost Age,2002,Nintendo,1,RPG,9.2
Game Boy Advance,Fire Emblem,2003,Nintendo,1,Strategy RPG,9.2
Game Boy Advance,Golden Sun,2001,Nintendo,1,RPG,9.1
Game Boy Advance,Astro Boy: Omega Factor,2003,Sega,1,Beat 'em up,9.1
Game Boy Advance,"WarioWare, Inc.: Mega Microgame$!",2003,Nintendo,1-4,Party,9.0
Game Boy Advance,Final Fantasy Tactics Advance,2003,Square Enix,1,Strategy RPG,9.0
Game Boy Advance,Kirby & the Amazing Mirror,2004,Nintendo,1-4,Platformer,9.0
Game Boy Advance,Gunstar Super Heroes,2005,Sega,1-2,Run-and-Gun,9.0
Game Boy Advance,Mario Kart: Super Circuit,2001,Nintendo,1-4,Racing,8.9
Game Boy Advance,Sonic Advance 2,2002,Sega,1-4,Platformer,8.9
Game Boy Advance,F-Zero: Maximum Velocity,2001,Nintendo,1,Racing,8.7
Game Boy Advance,The Sword of Hope II,2001,Kemco,1,RPG,8.5
Intellivision,Utopia,1982,Mattel,1-2,Strategy,8.7
Intellivision,Advanced Dungeons & Dragons: Cloudy Mountain,1982,Mattel,1,Action-Adventure,8.5
Intellivision,Astrosmash,1981,Mattel,1,Shoot 'em up,8.2
Intellivision,BurgerTime,1982,Mattel,1-2,Arcade,8.2
Intellivision,Sea Battle,1980,Mattel,1-6,Strategy,8.1
Intellivision,Night Stalker,1982,Mattel,1,Action,8.1
Intellivision,Tron Deadly Discs,1982,Mattel,1-2,Action,8.0
Intellivision,Shark! Shark!,1982,Mattel,1-2,Action,8.0
Intellivision,Demon Attack,1982,Imagic,1,Shoot 'em up,8.0
Intellivision,Atlantis,1982,Imagic,1-2,Shoot 'em up,8.0
Intellivision,Space Spartans,1981,Mattel,1,Strategy,7.8
Intellivision,Lock 'N' Chase,1982,Mattel,1-2,Arcade,7.8
Intellivision,Major League Baseball,1980,Mattel,1-2,Sports,7.7
Intellivision,B-17 Bomber,1982,Mattel,1-2,Simulation,7.7
Intellivision,World Championship Baseball,1982,Mattel,1-2,Sports,7.7
Intellivision,Thin Ice,1983,Mattel,1-2,Action,7.7
Intellivision,Beauty and the Beast,1982,Imagic,1-2,Platformer,7.6
Intellivision,Frog Bog,1982,Mattel,1-2,Action,7.6
Intellivision,Nightmare,1982,Mattel,1,Action,7.5
Intellivision,TRON: Solar Sailer,1983,Mattel,1,Action,7.4
Mega Drive / Genesis,Sonic 3 & Knuckles,1994,Sega,1-2,Platformer,9.8
Mega Drive / Genesis,Streets of Rage 2,1992,Sega,1-2,Beat 'em up,9.7
Mega Drive / Genesis,Sonic the Hedgehog 2,1992,Sega,1-2,Platformer,9.5
Mega Drive / Genesis,Gunstar Heroes,1993,Sega,1-2,Run-and-Gun,9.5
Mega Drive / Genesis,Phantasy Star IV,1993,Sega,1,RPG,9.5
Mega Drive / Genesis,Contra: Hard Corps,1994,Konami,1-2,Run-and-Gun,9.4
Mega Drive / Genesis,MUSHA,1990,Compile,1,Shoot 'em up,9.3
Mega Drive / Genesis,Thunder Force IV,1992,Technosoft,1,Shoot 'em up,9.3
Mega Drive / Genesis,Shining Force II,1993,Sega,1,Strategy RPG,9.3
Mega Drive / Genesis,Rocket Knight Adventures,1993,Konami,1,Action-Platformer,9.2
Mega Drive / Genesis,Alien Soldier,1995,Treasure,1,Run-and-Gun,9.2
Mega Drive / Genesis,Castlevania: Bloodlines,1994,Konami,1,Action-Platformer,9.1
Mega Drive / Genesis,Micro Machines 2: Turbo Tournament,1994,Codemasters,1-8,Racing,9.0
Mega Drive / Genesis,Ristar,1995,Sega,1,Platformer,9.0
Mega Drive / Genesis,ToeJam & Earl,1991,Sega,1-2,Action,8.9
Mega Drive / Genesis,Streets of Rage,1991,Sega,1-2,Beat 'em up,8.9
Mega Drive / Genesis,Earthworm Jim,1994,Shiny Entertainment,1,Platformer,8.9
Mega Drive / Genesis,Comix Zone,1995,Sega,1,Beat 'em up,8.8
Mega Drive / Genesis,Worms,1995,Team17,1-4,Strategy,8.8
Mega Drive / Genesis,Virtua Racing,1994,Sega,1-2,Racing,8.7
NES,Super Mario Bros. 3,1988,Nintendo,1-2,Platformer,9.8
NES,Super Mario Bros.,1985,Nintendo,1-2,Platformer,9.5
NES,The Legend of Zelda,1986,Nintendo,1,Action-Adventure,9.5
NES,Mega Man 2,1988,Capcom,1,Action-Platformer,9.5
NES,Castlevania III: Dracula's Curse,1989,Konami,1,Action-Platformer,9.4
NES,Kirby's Adventure,1993,Nintendo,1,Platformer,9.4
NES,Final Fantasy III,1994,Square,1,RPG,9.4
NES,Metroid,1986,Nintendo,1,Action-Adventure,9.2
NES,Contra,1987,Konami,1-2,Run-and-Gun,9.2
NES,Punch-Out!!,1990,Nintendo,1,Sports/Fighting,9.2
NES,Ninja Gaiden,1988,Tecmo,1,Action-Platformer,9.1
NES,Castlevania,1987,Konami,1,Action-Platformer,9.0
NES,Blaster Master,1988,Sunsoft,1,Action-Platformer,9.0
NES,DuckTales,1989,Capcom,1,Platformer,9.0
NES,Dragon Warrior IV,1990,Enix,1,RPG,9.0
NES,Mega Man 3,1990,Capcom,1,Action-Platformer,9.0
NES,Crystalis,1990,SNK,1,Action RPG,9.0
NES,River City Ransom,1989,Technos Japan,1-2,Beat 'em up,8.9
NES,Bionic Commando,1988,Capcom,1,Action-Platformer,8.8
NES,Zelda II: The Adventure of Link,1987,Nintendo,1,Action RPG,8.6
Neo Geo,Metal Slug 3,2000,SNK,1-2,Run-and-Gun,9.8
Neo Geo,Garou: Mark of the Wolves,1999,SNK,1-2,Fighting,9.7
Neo Geo,The King of Fighters '98,1998,SNK,1-2,Fighting,9.6
Neo Geo,Metal Slug X,1999,SNK,1-2,Run-and-Gun,9.6
Neo Geo,Samurai Shodown II,1994,SNK,1-2,Fighting,9.5
Neo Geo,Last Blade 2,1998,SNK,1-2,Fighting,9.5
Neo Geo,The King of Fighters 2002,2002,SNK Playmore,1-2,Fighting,9.4
Neo Geo,Metal Slug,1996,Nazca,1-2,Run-and-Gun,9.3
Neo Geo,Blazing Star,1998,Yumekobo,1-2,Shoot 'em up,9.3
Neo Geo,Pulstar,1995,Aicom,1-2,Shoot 'em up,9.2
Neo Geo,Windjammers,1994,Data East,1-2,Sports,9.1
Neo Geo,Neo Turf Masters,1996,Nazca,1-2,Sports,9.1
Neo Geo,Real Bout Fatal Fury Special,1997,SNK,1-2,Fighting,9.1
Neo Geo,Shock Troopers,1997,SNK,1-2,Run-and-Gun,9.1
Neo Geo,Twinkle Star Sprites,1996,ADK,1-2,Shoot 'em up,9.0
Neo Geo,Baseball Stars 2,1992,SNK,1-2,Sports,8.9
Neo Geo,Shock Troopers: 2nd Squad,1998,Saurus,1-2,Run-and-Gun,8.9
Neo Geo,Top Hunter: Roddy & Cathy,1994,SNK,1-2,Action-Platformer,8.8
Neo Geo,Magician Lord,1990,Alpha Denshi,1-2,Action-Platformer,8.7
Neo Geo,Windjammers 2,2022,Dotemu,1-2,Sports,8.5
Nintendo 64,The Legend of Zelda: Ocarina of Time,1998,Nintendo,1,Action-Adventure,10.0
Nintendo 64,Super Mario 64,1996,Nintendo,1,Platformer,9.9
Nintendo 64,The Legend of Zelda: Majora's Mask,2000,Nintendo,1,Action-Adventure,9.8
Nintendo 64,GoldenEye 007,1997,Nintendo,1-4,First-Person Shooter,9.7
Nintendo 64,Star Fox 64,1997,Nintendo,1-4,Rail Shooter,9.5
Nintendo 64,Banjo-Kazooie,1998,Nintendo,1,Platformer,9.5
Nintendo 64,Super Smash Bros.,1999,Nintendo,1-4,Fighting,9.5
Nintendo 64,Perfect Dark,2000,Nintendo,1-4,First-Person Shooter,9.5
Nintendo 64,Paper Mario,2000,Nintendo,1,RPG,9.5
Nintendo 64,Mario Kart 64,1996,Nintendo,1-4,Racing,9.3
Nintendo 64,F-Zero X,1998,Nintendo,1-4,Racing,9.3
Nintendo 64,Sin and Punishment,2000,Nintendo,1-2,Rail Shooter,9.3
Nintendo 64,Diddy Kong Racing,1997,Nintendo,1-4,Racing,9.1
Nintendo 64,Conker's Bad Fur Day,2001,Rare,1,Platformer,9.1
Nintendo 64,Wave Race 64,1996,Nintendo,1-4,Racing,9.0
Nintendo 64,Rogue Squadron,1998,LucasArts,1,Action,9.0
Nintendo 64,Banjo-Tooie,2000,Nintendo,1,Platformer,9.0
Nintendo 64,Blast Corps,1997,Nintendo,1,Action,8.9
Nintendo 64,Jet Force Gemini,1999,Nintendo,1-4,Action,8.9
Nintendo 64,1080° Snowboarding,1998,Nintendo,1-2,Sports,8.8
Odyssey² / Videopac,Quest for the Rings,1981,Philips,1-2,Adventure,8.3
Odyssey² / Videopac,K.C. Munchkin!,1981,Philips,1,Maze,8.0
Odyssey² / Videopac,Pick Axe Pete,1982,Philips,1,Action,7.7
Odyssey² / Videopac,Turtles,1981,Philips,1-2,Action,7.6
Odyssey² / Videopac,Alien Invaders - Plus!,1981,Philips,1-2,Shoot 'em up,7.6
Odyssey² / Videopac,Cosmic Conflict,1978,Philips,1-2,Shoot 'em up,7.5
Odyssey² / Videopac,Freedom Fighters,1982,Philips,1-2,Action,7.5
Odyssey² / Videopac,War of Nerves,1981,Philips,1-2,Shoot 'em up,7.4
Odyssey² / Videopac,UFO,1980,Philips,1-2,Shoot 'em up,7.3
Odyssey² / Videopac,Blockout,1981,Philips,1-2,Puzzle,7.2
Odyssey² / Videopac,The Mousing Cat,1982,Philips,1,Action,7.2
Odyssey² / Videopac,Smithereens,1982,Philips,1-2,Action,7.2
Odyssey² / Videopac,Monkeyshines,1982,Philips,1,Action,7.1
Odyssey² / Videopac,Out of this World,1982,Philips,1,Action,7.1
Odyssey² / Videopac,Sub Chase,1978,Philips,1-2,Action,7.0
Odyssey² / Videopac,Speedway/Spin-Out/Crypto-Logic,1978,Philips,1-2,Sports,7.0
Odyssey² / Videopac,Alien Invaders,1978,Philips,1-2,Shoot 'em up,7.0
Odyssey² / Videopac,Gunfighter,1979,Philips,1-2,Action,6.9
Odyssey² / Videopac,P.T. Barnum's Acrobats,1980,Philips,1-2,Action,6.8
PC Engine / TurboGrafx-16,Castlevania: Rondo of Blood,1993,Konami,1,Action-Platformer,9.8
PC Engine / TurboGrafx-16,Dracula X: Chi no Rondo,1993,Konami,1,Action-Platformer,9.8
PC Engine / TurboGrafx-16,Ys Book I & II,1989,Hudson Soft,1,Action RPG,9.4
PC Engine / TurboGrafx-16,Soldier Blade,1992,Hudson Soft,1,Shoot 'em up,9.4
PC Engine / TurboGrafx-16,Blazing Lazers,1989,Hudson Soft,1,Shoot 'em up,9.2
PC Engine / TurboGrafx-16,Gunhed,1989,Hudson Soft,1,Shoot 'em up,9.2
PC Engine / TurboGrafx-16,Gate of Thunder,1992,Hudson Soft,1,Shoot 'em up,9.2
PC Engine / TurboGrafx-16,Devil's Crush,1990,Naxat,1,Pinball,9.1
PC Engine / TurboGrafx-16,Lords of Thunder,1993,Hudson Soft,1,Shoot 'em up,9.1
PC Engine / TurboGrafx-16,Ninja Spirit,1988,Irem,1,Action-Platformer,9.0
PC Engine / TurboGrafx-16,Military Madness,1989,Hudson Soft,1,Strategy,9.0
PC Engine / TurboGrafx-16,Bonk's Revenge,1991,Hudson Soft,1,Platformer,9.0
PC Engine / TurboGrafx-16,Star Parodier,1992,Hudson Soft,1-2,Shoot 'em up,9.0
PC Engine / TurboGrafx-16,Neutopia II,1991,Hudson Soft,1,Action RPG,8.9
PC Engine / TurboGrafx-16,Parasol Stars,1991,Hudson Soft,1-2,Platformer,8.9
PC Engine / TurboGrafx-16,Bonk's Adventure,1989,Hudson Soft,1,Platformer,8.8
PC Engine / TurboGrafx-16,Splatterhouse,1990,Namco,1,Beat 'em up,8.8
PC Engine / TurboGrafx-16,Raiden,1991,Hudson Soft,1-2,Shoot 'em up,8.8
PC Engine / TurboGrafx-16,Legendary Axe,1988,Victor,1,Action-Platformer,8.7
PC Engine / TurboGrafx-16,Bonk III: Bonk's Big Adventure,1993,Hudson Soft,1,Platformer,8.7
PlayStation,Castlevania: Symphony of the Night,1997,Konami,1,Action RPG,10.0
PlayStation,Metal Gear Solid,1998,Konami,1,Action-Adventure,9.9
PlayStation,Final Fantasy VII,1997,Square,1,RPG,9.8
PlayStation,Final Fantasy Tactics,1997,Square,1,Strategy RPG,9.7
PlayStation,Tekken 3,1997,Namco,1-2,Fighting,9.6
PlayStation,Resident Evil 2,1998,Capcom,1,Survival Horror,9.6
PlayStation,Suikoden II,1998,Konami,1,RPG,9.6
PlayStation,Final Fantasy IX,2000,Square,1,RPG,9.6
PlayStation,Gran Turismo 2,1999,Sony Computer Entertainment,1-2,Racing,9.5
PlayStation,Silent Hill,1999,Konami,1,Survival Horror,9.5
PlayStation,Vagrant Story,2000,Square,1,Action RPG,9.4
PlayStation,Tony Hawk's Pro Skater 2,2000,Activision,1-2,Sports,9.4
PlayStation,Xenogears,1998,Square,1,RPG,9.3
PlayStation,Crash Bandicoot 3: Warped,1998,Sony Computer Entertainment,1,Platformer,9.2
PlayStation,Ridge Racer Type 4,1998,Namco,1-2,Racing,9.2
